job_num,method,simulation_id,estimate,SE,p_value,ndf,ddf,n_obs,dgp,b_xy,b_cy,b_cx,r_cc
1,all_covs,1,-0.04944085890434568,0.11033359712908936,0.655088248987594,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,2,-0.014092186298252905,0.10764149290151827,0.8961143014023105,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,3,0.047090890464093364,0.11934326180351625,0.6940254925963638,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,4,0.05040447122564086,0.10659888521292255,0.6373989240620843,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,5,0.040227367694095476,0.09429432721419793,0.6706149845518545,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,6,0.01622007470980364,0.08870730287879383,0.8553018087058708,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,7,0.12466804773246142,0.1266077515172093,0.3272567788800538,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,8,-0.15060379514190117,0.10759859034383655,0.1648318198595545,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,9,0.04999986388236728,0.10461368183375469,0.6337739988131901,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,10,-0.26421530737695204,0.10541063414964928,0.013873016210914605,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,11,-0.13846596486338508,0.09739255444540654,0.15834518514050558,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,12,0.06676569323518436,0.12064817616235961,0.5812817949466818,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,13,-0.05801587285858422,0.09056292236198331,0.5232997473507732,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,14,0.01260353914871976,0.09179679268826041,0.8910826003814922,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,15,0.0036363597605063185,0.11249846322384892,0.974281066733243,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,16,-0.07062362416715681,0.1109657506912286,0.5260008671794021,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,17,0.037914794326937305,0.10333456076671058,0.7144914304292026,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,18,-0.15051551869057703,0.0959292452103769,0.1199321537679083,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,19,-0.11641598658010278,0.1008727126847235,0.25132909227453343,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,20,2.1559028240253968e-4,0.10810551317019387,0.9984129516621556,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,21,-0.15680741756134892,0.10666229027096091,0.14479650190152848,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,22,-0.06107924083796621,0.10379121932769972,0.557590996171637,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,23,-0.03971962498684233,0.11078683874605047,0.7207392122377418,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,24,-0.024651575799567296,0.10348497986370513,0.8122228069364174,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,25,-0.08213002798539189,0.10174439300739281,0.42153568954846654,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,26,0.010658052705036837,0.09860324696258241,0.9141496702594307,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,27,-0.06165407594997565,0.10296243038121379,0.5507155171551686,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,28,-0.1353850953270599,0.09469542424456574,0.15605238190992296,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,29,0.016761963112502117,0.1038727410023503,0.8721409741971482,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,30,-0.19923089584512452,0.0866833114458167,0.02370998140960067,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,31,0.0846907458611953,0.0947168917646915,0.3734799109218172,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,32,-0.15127696701395457,0.1078139476820752,0.1638042386995932,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,33,-0.1339119760947286,0.1295846703480077,0.30401601270503953,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,34,-0.0396925006216342,0.10599197799550376,0.7088687876130644,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,35,-0.051321857015606626,0.10547236980391995,0.6276575772417257,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,36,-0.13408867095956184,0.08890977592251309,0.13480190904302095,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,37,0.1861501804986037,0.11192271192005476,0.09953330115277352,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,38,-0.019332580943395943,0.11452032854534538,0.8662984940612115,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,39,0.13861476331142433,0.09458038359300945,0.1460314684982562,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,40,0.020754697637474572,0.09779157036960484,0.8323744426600417,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,41,-0.0464583155867874,0.09541646793140353,0.6274387764853713,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,42,0.0574429220840732,0.11123605648699332,0.6067586761803314,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,43,0.02180532787057723,0.10105771570493662,0.8296240137892537,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,44,0.1256183882019722,0.09412326615655277,0.18515896112902788,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,45,0.09948861051359131,0.10229628278657943,0.333219411908536,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,46,0.06482329113673903,0.09361066772154585,0.4903091245703638,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,47,0.05272204088061381,0.09063332871025452,0.5621275495913493,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,48,0.015594510615245125,0.10631048326449721,0.8836856122893639,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,49,0.05537435779090209,0.09950382412714304,0.5791607533261458,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,50,-0.09383479131878587,0.10488145616603627,0.3731986344557223,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,51,-0.008073553586151845,0.11269710248409862,0.9430379155328501,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,52,0.03359126819429181,0.09530913120246717,0.7252768179343205,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,53,-0.22822644586241217,0.09464089340514456,0.01778897062991594,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,54,-0.18168653367765852,0.10909117700799698,0.09908207903158373,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,55,0.09898623815437625,0.11281157986212688,0.3824342483777293,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,56,0.13778433007030547,0.09086286673696191,0.13270462634316993,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,57,0.1138176359122678,0.08870171642033228,0.202528469433078,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,58,-0.0309942769914652,0.10244464176722988,0.7628899808325378,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,59,-0.09549990607655194,0.11405642801811683,0.40450133272712285,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,60,2.498758485216959e-4,0.11838897384181464,0.9983203383498644,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,61,-0.02213668816669579,0.09938983181938688,0.824222049968538,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,62,0.040598451408473436,0.08126744399862755,0.6185237501621752,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,63,0.1142497727132966,0.09368351999947724,0.22563124343657098,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,64,0.0313742053249249,0.0998725969150283,0.7540946289221279,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,65,-0.024545820681123872,0.10440210098826379,0.8146253029193019,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,66,-0.094013353108667,0.1073543437958822,0.3833630788251944,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,67,0.12865306331295398,0.0979509443072517,0.1921639569290741,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,68,-0.16888757460390624,0.1300190957214507,0.19707424815257701,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,69,-0.07569254818759845,0.09734421249194089,0.43873090635352996,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,70,0.004176037245765945,0.11403964127119641,0.9708646953444353,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,71,8.299414099151047e-4,0.09773634071705965,0.9932423578129499,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,72,0.09556657820344612,0.11662503437652057,0.4145682835610811,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
1,all_covs,73,-0.06258041781068605,0.11529775462799999,0.588544573005198,3,96,100,cc,0,"[0.3, 0.3]","[0.3, 0.3]",0
